year,             lab,       cruise_id,         vessel,     lat,      lon,date_local,month,DayI,time_start,time_end,days_elapsed,day_length,day_length_change_per_month,depth_mixlayr,Cmax_Depth,PRCP,PrecipCat,AirTempMax,AirTempMin,Sverdrup_trans,Upwelling,vert_vol_Eckman,WindGust,DomWavePd,WaveHeight,AvgWavePd,SSHD_Sat,AvgWind,   MEI,Chl_A_Sat,ChlA_Sat8,Prim_Prod,Prim_Prod8,    CDOM,    PAR,     POC,depth,depth_n,  temp,temp_CTD,   sal,sal_CTD, cond,sigma_theta, NO2,NO3_NO2, PO4,Pstar_P_N,   SiO3, O2Wink,OxygenCS,OxygenCTD,OxygenCurrent,OxygenSaturation,OxygenTemperature,O2Combined
2000,lab_Fuhrman_2014,MO_SPOT_Aug_2000,   RV_Point_Sur,   33.55,   -118.4,2000-08-17,    8,  17,      0700,    1700,           0,  13.34865,                   -0.76629,           nd,        45,   0,        0,       300,       200,             4,      104,             13,      36,   14.786,     1.212,    7.048,      nd,     18,-0.146,   0.1860,   0.1729, 1380.670,   928.128,1.849049,56.9368, 53.2826,   nd,      5,    nd,      nd,    nd,     nd,   nd,         nd,0.07,   0.09,0.33,   0.3194,     nd,     nd,      nd,       nd,           nd,              nd,               nd,        nd
2000,lab_Fuhrman_2014,MO_SPOT_Aug_2000,   RV_Point_Sur,   33.55,   -118.4,2000-08-17,    8,  17,      0700,    1700,           0,  13.34865,                   -0.76629,           nd,        45,   0,        0,       300,       200,             4,      104,             13,      36,   14.786,     1.212,    7.048,      nd,     18,-0.146,   0.1860,   0.1729, 1380.670,   928.128,1.849049,56.9368, 53.2826,   nd,   CMAX,    nd,      nd,    nd,     nd,   nd,         nd,0.06,     nd,0.43,       nd,     nd,     nd,      nd,       nd,           nd,              nd,               nd,        nd
2000,lab_Fuhrman_2014,MO_SPOT_Aug_2000,   RV_Point_Sur,   33.55,   -118.4,2000-08-17,    8,  17,      0700,    1700,           0,  13.34865,                   -0.76629,           nd,        45,   0,        0,       300,       200,             4,      104,             13,      36,   14.786,     1.212,    7.048,      nd,     18,-0.146,   0.1860,   0.1729, 1380.670,   928.128,1.849049,56.9368, 53.2826,   nd,    150,    nd,      nd,    nd,     nd,   nd,         nd,0.07,  21.98,2.28,   0.9031,     nd,     nd,      nd,       nd,           nd,              nd,               nd,        nd
2000,lab_Fuhrman_2014,MO_SPOT_Aug_2000,   RV_Point_Sur,   33.55,   -118.4,2000-08-17,    8,  17,      0700,    1700,           0,  13.34865,                   -0.76629,           nd,        45,   0,        0,       300,       200,             4,      104,             13,      36,   14.786,     1.212,    7.048,      nd,     18,-0.146,   0.1860,   0.1729, 1380.670,   928.128,1.849049,56.9368, 53.2826,   nd,    500,    nd,      nd,    nd,     nd,   nd,         nd,0.10,  34.97,3.77,   1.5844,     nd,     nd,      nd,       nd,           nd,              nd,               nd,        nd
2000,lab_Fuhrman_2014,MO_SPOT_Sep_2000,   RV_Sea_Watch,   33.55,   -118.4,2000-09-18,    9,  18,      0700,    1700,          32,  12.29343,                   -0.99366,           12,        40,   0,        0,       317,       222,            17,       32,             37,      54,   14.290,     0.932,    7.629,      nd,     24,-0.249,   0.2304,   0.2052, 1495.330,  1147.060,2.379496,45.5897, 63.9168,    5,      5,21.250,  21.202,33.713, 33.707,4.753,   1023.478,0.07,   0.22,0.27,   0.2563,  1.255,  5.320, 219.282,    4.782,        0.680,           5.091,           15.977,   237.597
2000,lab_Fuhrman_2014,MO_SPOT_Sep_2000,   RV_Sea_Watch,   33.55,   -118.4,2000-09-18,    9,  18,      0700,    1700,          32,  12.29343,                   -0.99366,           12,        40,   0,        0,       317,       222,            17,       32,             37,      54,   14.290,     0.932,    7.629,      nd,     24,-0.249,   0.2304,   0.2052, 1495.330,  1147.060,2.379496,45.5897, 63.9168,   40,   CMAX,12.900,  13.682,33.506, 33.487,4.003,   1025.264,0.19,   3.35,0.69,   0.4806,  4.160,  5.864, 239.287,    6.121,        0.630,           5.897,           12.097,   261.892
2000,lab_Fuhrman_2014,MO_SPOT_Sep_2000,   RV_Sea_Watch,   33.55,   -118.4,2000-09-18,    9,  18,      0700,    1700,          32,  12.29343,                   -0.99366,           12,        40,   0,        0,       317,       222,            17,       32,             37,      54,   14.290,     0.932,    7.629,      nd,     24,-0.249,   0.2304,   0.2052, 1495.330,  1147.060,2.379496,45.5897, 63.9168,  150,    150, 9.800,   9.772,33.984, 34.037,3.700,   1026.920,0.08,  23.65,2.41,   0.9272, 26.055,  2.609, 106.300,    2.188,        0.187,           6.389,            8.873,   116.521
2000,lab_Fuhrman_2014,MO_SPOT_Oct_2000,   RV_Sea_Watch,   33.55,   -118.4,2000-10-09,   10,   9,      0700,    1700,          53,  11.57216,                   -1.02863,           19,        31,   0,        1,       189,       133,            77,       98,            163,      67,   14.911,     0.716,    6.381,      nd,     23,-0.382,   0.2238,   0.2272, 1388.790,  1900.580,3.087962,37.5720, 67.0839,    5,      5,19.850,  19.797,33.701, 33.695,4.612,   1023.843,0.02,   0.15,0.23,   0.2204,  0.305,  5.577, 227.390,    4.856,        0.678,           5.225,           17.364,   249.074
2000,lab_Fuhrman_2014,MO_SPOT_Oct_2000,   RV_Sea_Watch,   33.55,   -118.4,2000-10-09,   10,   9,      0700,    1700,          53,  11.57216,                   -1.02863,           19,        31,   0,        1,       189,       133,            77,       98,            163,      67,   14.911,     0.716,    6.381,      nd,     23,-0.382,   0.2238,   0.2272, 1388.790,  1900.580,3.087962,37.5720, 67.0839, 28.6,   CMAX,14.472,  15.128,33.490, 33.485,4.139,   1024.905,0.05,   1.15,0.45,   0.3830,  1.794,  6.003, 246.401,    5.539,        0.613,           5.726,           13.371,   268.113
2000,lab_Fuhrman_2014,MO_SPOT_Oct_2000,   RV_Sea_Watch,   33.55,   -118.4,2000-10-09,   10,   9,      0700,    1700,          53,  11.57216,                   -1.02863,           19,        31,   0,        1,       189,       133,            77,       98,            163,      67,   14.911,     0.716,    6.381,      nd,     23,-0.382,   0.2238,   0.2272, 1388.790,  1900.580,3.087962,37.5720, 67.0839,  150,    150, 9.100,   9.924,34.164, 33.944,3.705,   1026.825,0.09,  21.92,2.80,   1.4253, 33.635,  2.807,  71.953,    2.453,        0.212,           6.371,            9.487,   125.363
