                         nodeIDs,nodeType,nodeDepths,       mean,         sd,    median,        mad,count1000,countALL,    LB,    UB,                  Project,                     Location,DepthCat,Clone1Hits,Clone2Hits,OtherHits,Clone1ID,Clone2ID,        Accession,  SecAccession,  Domain,        Phylum,                Class,               Order,              Family,                  Genus,                       Species,           SilvaTag,                     RDP_Clade,    Ecotype,SecDomain,      SecPhylum,             SecClass,         SecOrder,        SecFamily,               SecGenus,                    SecSpecies,        SecSilvaTag,                SecRDP_Clade, SecEcotype,                    Letter6,      amean,        asd,    amedian,       amad,acount1000,acountall
                   5_ARISA_392.9,   ARISA,         5,   0.000112,   0.000339,         0,          0,        2,      21, 391.9, 392.9,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_392.9,0.000111635,0.000339407,          0,          0,         2,       21
                   5_ARISA_399.1,   ARISA,         5,   0.000268,    0.00222,         0,          0,        2,      10, 398.1, 399.1,            Biocomplexity,Atlantic_(Amazon_River_Plume),    surf,         1,        nd,       nd,  204250,      nd,       EF572717.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_399.1,0.000268049,0.002221937,          0,          0,         2,       10
                   5_ARISA_400.2,   ARISA,         5,   0.000349,    0.00123,         0,          0,        8,      29, 399.2, 400.2,     Indian_Ocean-RS/JCVI,                 Indian_Ocean,    surf,         1,        nd,       nd,  204251,      nd,       EU804586.1,            nd,Bacteria,Proteobacteria,  Alphaproteobacteria,    Rhodospirillales,   Rhodospirillaceae,                     nd,                            nd,             SAR116,                  Sar116_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,               SAR116_400.2,0.000348884,0.001233863,          0,          0,         8,       29
                   5_ARISA_401.5,   ARISA,         5,    0.00913,       0.01,   0.00154,    0.00228,       54,      57, 400.5, 401.5,USC_Microbial_Observatory,                         SPOT,    surf,         1,        nd,       nd,  204265,      nd,       DQ009150.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_401.5, 0.00913173,       0.01, 0.00153674,0.002278371,        54,       57
                   5_ARISA_402.4,   ARISA,         5,       0.02,       0.04,   0.00524,    0.00777,       59,      63, 401.5, 402.4,USC_Microbial_Observatory,                         SPOT,    surf,         3,        nd,       nd,  204266,      nd,       DQ009150.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_402.4,       0.02,       0.04,0.005239578,0.007768199,        59,       63
                   5_ARISA_403.1,   ARISA,         5,   0.000196,   0.000805,         0,          0,        6,      10, 402.4, 403.1,Global_Ocean_Survey_(GOS),                          xxx,    surf,         6,        nd,       nd,  204256,      nd,       EU804068.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                   Sar86_clade,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_403.1, 0.00019599,0.000804663,          0,          0,         6,       10
                   5_ARISA_403.8,   ARISA,         5,    0.00022,    0.00114,         0,          0,        6,      10, 403.1, 403.8,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_403.8,0.000220375,0.001137481,          0,          0,         6,       10
                   5_ARISA_404.8,   ARISA,         5,   0.000249,   0.000739,         0,          0,        9,      21, 403.8, 404.8,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_404.8,0.000249426,0.000739191,          0,          0,         9,       21
                   5_ARISA_405.6,   ARISA,         5,   0.000254,   0.000511,         0,          0,       10,      34, 404.8, 405.6,Global_Ocean_Survey_(GOS),                          xxx,    surf,         3,        nd,       nd,  204269,      nd,   AACY01081767.1,            nd,Bacteria,Proteobacteria,  Gammaproteobacteria,   Oceanospirillales,      Halomonadaceae,    Candidatus_Portiera,                            nd,              SAR86,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                SAR86_405.6,0.000254051,0.000511059,          0,          0,        10,       34
                   5_ARISA_406.7,   ARISA,         5,   0.000575,    0.00116,         0,          0,       18,      43, 405.7, 406.7,                       nd,                           nd,      nd,        nd,        nd,       nd,      nd,      nd,               nd,            nd,      nd,            nd,                   nd,                  nd,                  nd,                     nd,                            nd,                 nd,                            nd,         nd,       nd,             nd,                   nd,               nd,               nd,                     nd,                            nd,                 nd,                          nd,         nd,                  OTU_406.7,0.000575426,0.001155785,          0,          0,        18,       43
